ARTYLUŁ;SWING;MODEL;NAZWA ARTYKU£U;LFB1;LFB3;LFB4;TRNS;Suma
40269421;800275;1;ASKVOLL bed frm 140x200 white;0;440;0;0;440
20269422;800275;2;ASKVOLL bed frm 160x200 white;0;48;0;0;48
40250558;800263;1;BERGSFJORD slid doors pair 150x201 white;0;150;0;0;150
60250557;800263;2;BERGSFJORD slid doors pair 150x236 white;0;260;0;0;260
20250559;800264;2;BERGSFJORD slid doors pair 150x236 white AP CN;0;10;0;0;10
80250556;800263;3;BERGSFJORD slid doors pair 200x201 white;0;102;0;0;102
10308358;800264;3;BERGSFJORD slid doors pair 200x201 white AP;0;12;0;0;12
60250562;800263;4;BERGSFJORD slid doors pair 200x236 white;0;216;0;0;216
250560;800264;4;BERGSFJORD slid doors pair 200x236 white AP CN;0;12;0;0;12
40365583;800290;2;BJÖRNAMO pict 25x25 city maps;0;3584;0;0;3584
80365581;800291;2;BJÖRNAMO pict 25x25 city maps AP;0;1344;0;0;1344
60365582;800301;2;BJÖRNAMO pict 25x25 city maps RU;0;784;0;0;784
20319200;800290;1;BJÖRNAMO pict s3 25x25 animals;0;5040;0;0;5040
60319199;800291;1;BJÖRNAMO pict s3 25x25 animals AP CN;0;336;0;0;336
60381365;800301;1;BJÖRNAMO pict s3 25x25 animals RU;0;672;0;0;672
70296183;800289;1;ELV insert 40x51 white;0;640;0;0;640
40313278;800288;2;ELV insert 80x36 white;0;1120;0;0;1120
20296185;800289;2;ELV insert 80x51 white;560;3192;0;0;3752
60313282;800286;1;ELV shelf 40x36 white;1188;1836;0;0;3024
60296174;800287;1;ELV shelf 40x51 white;4572;3852;0;0;8424
20313284;800286;2;ELV shelf 80x36 white;2550;3480;0;0;6030
10296176;800287;2;ELV shelf 80x51 white;1102;13978;0;1160;16240
90343980;800292;3;FORSAND door 50x195 dark blue;0;874;0;0;874
70343981;800293;3;FORSAND door 50x195 dark blue AP CN;0;38;0;0;38
60343991;800292;2;FORSAND door 50x229 beige;0;266;0;0;266
40343992;800293;2;FORSAND door 50x229 beige AP CN;0;342;0;0;342
80343985;800292;4;FORSAND door 50x229 dark blue;0;38;0;0;38
60343986;800293;4;FORSAND door 50x229 dark blue AP CN;0;38;0;0;38
369696;800302;6;FORSAND door 50x229 light blue RU;0;342;0;0;342
60237354;800261;9;HASVIK N slid doors pair 150x201 white;0;1440;0;0;1440
30237355;800268;1;HASVIK N slid doors pair 150x201 white AP CN;0;370;0;0;370
10237356;800261;10;HASVIK N slid doors pair 150x236 white;0;1350;0;0;1350
90237357;800268;2;HASVIK N slid doors pair 150x236 white AP CN;0;380;0;0;380
70237358;800261;11;HASVIK N slid doors pair 200x201 white;0;432;0;0;432
50237359;800268;3;HASVIK N slid doors pair 200x201 white AP CN;0;132;0;0;132
30237360;800261;12;HASVIK N slid doors pair 200x236 white;0;780;0;0;780
10237361;800268;4;HASVIK N slid doors pair 200x236 white AP CN;6;192;0;0;198
20233490;800261;5;HASVIK sd pair 150x201 hg/wh;0;370;0;0;370
70233497;800261;6;HASVIK sd pair 150x236 hg/wh;0;400;0;0;400
40233502;800261;7;HASVIK sd pair 200x201 hg/wh;0;138;0;0;138
60344009;800261;13;HASVIK slid doors pair 150x201 beige;0;10;0;0;10
40344010;800268;9;HASVIK slid doors pair 150x201 beige AP CN;0;30;0;0;30
10344002;800268;13;HASVIK slid doors pair 150x201 dark blue AP CN;0;130;0;0;130
80233492;800268;5;HASVIK slid doors pair 150x201 hg-wh AP CN;0;30;0;0;30
20343993;800261;21;HASVIK slid doors pair 150x201 light blue;0;60;0;0;60
