ARTYKU£;SWING;MODEL;NAZWA ARTYKU£U;LFB1;LFB3;LFB4;TRNS;suma
40269421;800275;001;ASKVOLL bed frm 140x200 white;0;888;0;0;888
20269422;800275;002;ASKVOLL bed frm 160x200 white;0;40;0;0;40
40250558;800263;001;BERGSFJORD slid doors pair 150x201 white;0;140;0;0;140
30308357;800264;001;BERGSFJORD slid doors pair 150x201 white AP;0;20;0;0;20
60250557;800263;002;BERGSFJORD slid doors pair 150x236 white;0;80;0;0;80
20250559;800264;002;BERGSFJORD slid doors pair 150x236 white AP CN;0;20;0;0;20
80250556;800263;003;BERGSFJORD slid doors pair 200x201 white;0;174;0;48;222
10308358;800264;003;BERGSFJORD slid doors pair 200x201 white AP;0;18;0;0;18
60250562;800263;004;BERGSFJORD slid doors pair 200x236 white;0;690;0;0;690
250560;800264;004;BERGSFJORD slid doors pair 200x236 white AP CN;0;12;0;0;12
40365583;800290;002;BJÖRNAMO pict 25x25 city maps;0;4144;0;0;4144
80365581;800291;002;BJÖRNAMO pict 25x25 city maps AP;0;1344;0;0;1344
20319200;800290;001;BJÖRNAMO pict s3 25x25 animals;0;2576;0;0;2576
80313276;800288;001;ELV insert 40x36 white;0;140;0;0;140
70296183;800289;001;ELV insert 40x51 white;0;400;0;480;880
20296185;800289;002;ELV insert 80x51 white;0;2016;0;0;2016
60313282;800286;001;ELV shelf 40x36 white;0;2376;0;0;2376
60296174;800287;001;ELV shelf 40x51 white;8928;1116;0;0;10044
20313284;800286;002;ELV shelf 80x36 white;4620;2430;0;0;7050
10296176;800287;002;ELV shelf 80x51 white;2204;12876;0;2204;17284
90343980;800292;003;FORSAND door 50x195 dark blue;0;874;0;0;874
70343981;800293;003;FORSAND door 50x195 dark blue AP CN;0;76;0;0;76
50343982;800292;005;FORSAND door 50x195 light blue;0;266;0;0;266
60343991;800292;002;FORSAND door 50x229 beige;0;1026;0;0;1026
40343992;800293;002;FORSAND door 50x229 beige AP CN;0;38;0;0;38
